Group	filter	actor	item	Distance	DistanceM	Space	SpaceM	HoldT	HoldTM	Subs	SubsM	Peak	PeakM	Gaze	Duration	DurationM
0	1	4	23	5.57	-0.67547	0	-1.15036	0.33	1.87062	9	-0.45896	1.55	-0.82033	0	5357.00	-1.00
0	1	4	24	11.38	2.21815	2	-0.44363	0.67	0.95403	6	-0.01404	1.9	-0.41748	0	4318.00	-1.12
0	1	4	25	3.9	-0.97268	0	-1.08734	0.33	0.3136	3	0.2384	1.72	-0.81167	0	6807.00	-.42
0	1	4	26	5.3	-0.42197	0	-1.97698	0.33	0.74183	9	-0.30305	2.51	-0.00579	0	4988.00	-1.43
0	1	4	27	4.27	-0.68147	2	-0.44277	0.33	-0.14433	10	-1.18798	3.08	0.43874	0	5296.00	-1.05
0	1	4	28	3.75	-1.59143	4	-2.45877	0.33	1.21885	12	-1.38934	2.76	0.18833	0.12	5172.00	-.95
0	1	4	29	3.79	-1.21251	0	-1.22485	0.33	1.13133	5	-0.66489	1.82	-0.73764	0	4284.00	-1.16
0	1	4	30	4.03	-0.84251	0	-0.82041	0.67	1.79023	8	-1.24344	2.92	0.16475	0	4648.00	-.92
0	1	4	31	6.86	-0.23445	0	-0.58225	0.33	0.0874	13	-0.75564	2.14	-0.63528	0	5977.00	-1.23
0	1	5	1	2.95	-1.28053	2	-0.15152	0.33	0.14301	6	-0.82036	0.76	-1.70093	0	4174.00	-.77
0	1	5	2	9.92	-0.01393	5	-1.93649	0.33	-1.16204	12	-0.32393	1.3	-1.24809	0	7276.00	-.24
0	1	5	3	5.43	-0.52366	0	-0.55522	0.33	3.90348	6	-1.39588	2.45	-0.29146	0	5421.00	-.51
0	1	5	4	7.88	0.66329	0	-0.68143	0.67	1.50023	9	-0.53307	3.34	0.70802	0	5898.00	-.37
0	1	5	5	6.41	-0.13974	0	-0.45849	0.33	1.41291	9	-0.78852	1.92	-0.71636	0	4797.00	-1.14
0	1	5	6	2.47	-1.61042	0	-0.92962	0.33	1.58067	9	-0.55744	1.65	-0.80197	0	7840.00	.12
0	1	5	7	4.85	-0.84988	0	-0.5	0.33	0.96703	13	0.22822	1.82	-0.89574	0	8319.00	.41
0	1	5	8	4.29	-0.84718	0	-0.54115	0.33	0.94276	5	-1.67436	1.19	-1.58405	0	5826.00	-.67
0	1	5	9	2.47	-1.66853	2	-1.31618	0.33	0.99805	14	0.72886	1.24	-1.46099	0	6232.00	-.35
0	1	5	10	5.95	-0.5993	2	0.0692	0.33	0.61905	8	-1.68883	1.6	-1.3186	0	5826.00	-1.12
0	1	5	11	3.47	-1.16931	2	-0.21183	0.33	0.68158	6	-1.21716	1.15	-0.64914	0	4203.00	-1.64
0	1	5	12	2.65	-0.23223	0	-0.68143	0.33	0.86793	11	-0.1009	0.96	-0.50314	0	4203.00	-1.57
0	1	5	13	7.41	-0.47096	2	-1.07264	0.33	0.24597	9	-1.06042	1.9	-0.67749	0	7638.00	-.49
0	1	5	14	3.67	-0.21877	0	-0.86692	0.33	1.09263	6	-1.19612	1.43	-0.48877	0	4652.00	-1.06
0	1	5	15	9.2	1.37302	2	-1.12412	0.33	0.28399	10	0.21724	1.44	-0.99971	0	6367.00	-.56
0	1	5	16	4.42	-0.9027	5	-3.13104	0.33	0.41863	9	0.59124	1.78	-0.61172	0	5826.00	.31
0	1	5	17	7.55	-0.12977	2	-0.08119	0.33	-0.37109	6	-1.04487	1.66	-0.35153	0	4782.00	-.85
0	1	5	18	12.81	3.75877	2	-1.67919	0.33	-0.16318	3	-1.64845	2.02	-0.44505	0	4101.00	-1.35
0	1	5	19	4.83	-0.08234	0	-0.86646	0.33	0.51451	6	-1.12024	2.93	0.66264	0	4594.00	-.98
0	1	5	20	4.18	-1.3868	0	-0.64929	0.33	0.9157	18	0.79295	1.8	-1.12545	0	8768.00	.49
0	1	5	21	5.04	-0.92101	2	-0.18271	0.33	0.48441	14	-0.1041	2.86	0.40054	0	6725.00	-.53
0	1	5	22	4.35	-0.97032	2	-0.2376	0.33	0.03815	12	-0.18281	1.42	-1.11694	0	7985.00	-.03
0	1	5	23	7.24	-0.15446	2	-0.14029	0.33	1.08119	9	-0.65334	1.42	-0.93835	0	5595.00	-.91
0	1	5	24	4.31	-0.80535	2	-0.44363	0.33	1.15029	6	-1.02503	1.03	-1.34585	0	5812.00	-.34
0	1	5	25	6.7	-0.00973	2	-0.1977	0.33	0.14255	3	-1.9622	3.01	0.31201	0	8376.00	.25
0	1	5	26	3.77	-1.05834	2	-1.08734	0.33	2.0292	9	-0.56915	1.44	-0.79434	0	10782.00	1.41
0	1	5	27	7.74	1.08109	2	-0.44277	0.33	2.57739	10	0.0792	3.84	1.00202	0	6739.00	-.28
0	1	5	28	4.31	-1.27542	4	-2.45877	0.67	-0.69961	12	0.85019	3.22	0.68951	0.1	7232.00	.42
0	1	5	29	5.16	-0.37103	2	-0.4646	0.33	1.46381	5	-1.41289	1.37	-1.31911	0	4319.00	-1.14
0	1	5	30	15.52	3.91076	0	-0.82041	0.33	0.03545	8	-0.45811	2.39	-0.3492	0	5493.00	-.22
0	1	5	31	5.54	-0.68974	0	-0.58225	0.33	0.78657	13	-0.02042	1.09	-1.79673	0	9725.00	.59
1	1	6	1	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	2491.00	-2.01
1	1	6	2	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.54	4880.00	-.79
1	1	6	3	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	2754.00	-2.37
1	1	6	4	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4345.00	-1.49
1	1	6	5	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	6074.00	-.65
1	0	6	6	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	5316.00	-1.17
1	1	6	7	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	3368.00	-2.25
1	1	6	8	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	3966.00	-1.62
1	0	6	9	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4632.00	-1.32
1	1	6	10	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	7148.00	-.59
1	1	6	11	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4445.00	-1.47
1	1	6	12	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4445.00	-1.40
1	1	6	13	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4293.00	-2.32
1	1	6	14	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	3291.00	-2.14
1	1	6	15	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	5194.00	-1.14
1	1	6	16	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.51	3062.00	-1.88
1	1	6	17	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	2358.00	-2.63
1	1	6	18	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0.23	2632.00	-2.34
1	1	6	19	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	2982.00	-2.26
1	1	6	20	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	9259.00	.74
1	1	6	21	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4719.00	-1.03
1	1	6	22	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4105.00	-1.70
1	1	6	23	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4746.00	-1.21
1	1	6	24	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	2701.00	-1.97
1	1	6	25	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4678.00	-1.33
1	1	6	26	Na	Na	Na	Na	Na	Na	Na	Na	Na	Na	0	4913.00	-1.47
